IMIĘ_PIERWSZE,PŁEĆ,LICZBA_WYSTĄPIEŃ
SONIA,KOBIETA,13664
ALONA,KOBIETA,13295
MARZANNA,KOBIETA,13074
TATIANA,KOBIETA,13064
POLINA,KOBIETA,13043
YELYZAVETA,KOBIETA,12967
MIA,KOBIETA,12881
OTYLIA,KOBIETA,12601
ROMANA,KOBIETA,12286
LUIZA,KOBIETA,12260
ZENOBIA,KOBIETA,12211
ALBINA,KOBIETA,12045
KHRYSTYNA,KOBIETA,11999
ANDŻELIKA,KOBIETA,11998
ARLETA,KOBIETA,11714
ZENONA,KOBIETA,11596
TEODOZJA,KOBIETA,11468
IVANNA,KOBIETA,11094
VICTORIA,KOBIETA,11017
MARIANA,KOBIETA,10831
TEODORA,KOBIETA,10748
SALOMEA,KOBIETA,10670
LIWIA,KOBIETA,10437
JUDYTA,KOBIETA,10078
NICOLE,KOBIETA,10019
VIRA,KOBIETA,9943
BOLESŁAWA,KOBIETA,9808
ROMUALDA,KOBIETA,9779
YEVHENIIA,KOBIETA,9773
LUDMIŁA,KOBIETA,9444
ANHELINA,KOBIETA,9389
NICOLA,KOBIETA,9240
NATASZA,KOBIETA,9132
JOWITA,KOBIETA,8973
ADELAJDA,KOBIETA,8892
DARYNA,KOBIETA,8885
VANESSA,KOBIETA,8823
ELENA,KOBIETA,8787
INGA,KOBIETA,8626
MARHARYTA,KOBIETA,8272
LESIA,KOBIETA,8163
MILANA,KOBIETA,8128
ADA,KOBIETA,8078
BIANKA,KOBIETA,8033
JESSICA,KOBIETA,8007
LEONARDA,KOBIETA,7904
MARZENNA,KOBIETA,7898
SOFIA,KOBIETA,7873
ERYKA,KOBIETA,7843
ESTERA,KOBIETA,7820
RITA,KOBIETA,7745
EMMA,KOBIETA,7616
GIZELA,KOBIETA,7535
LONGINA,KOBIETA,7509
KARYNA,KOBIETA,7490
TEOFILA,KOBIETA,7485
DONATA,KOBIETA,7481
YEVA,KOBIETA,7277
LILIA,KOBIETA,7213
ALISA,KOBIETA,7201
ULIANA,KOBIETA,7174
ZLATA,KOBIETA,7157
KIRA,KOBIETA,7142
BERNADETTA,KOBIETA,7104
MAYA,KOBIETA,7069
LIDIIA,KOBIETA,7064
NADZIEJA,KOBIETA,6996
TEKLA,KOBIETA,6870
IDA,KOBIETA,6834
OLESIA,KOBIETA,6754
ELFRYDA,KOBIETA,6447
MYROSLAVA,KOBIETA,6433
IRMINA,KOBIETA,6360
ANETTA,KOBIETA,6256
KSENIIA,KOBIETA,6249
KONSTANCJA,KOBIETA,6249
KRISTINA,KOBIETA,6025
RUSLANA,KOBIETA,6017
RYSZARDA,KOBIETA,6012
AMANDA,KOBIETA,5983
ARINA,KOBIETA,5932
FLORENTYNA,KOBIETA,5837
BERNARDA,KOBIETA,5819
ALENA,KOBIETA,5754
DARIIA,KOBIETA,5643
VITA,KOBIETA,5642
GAJA,KOBIETA,5608
SŁAWOMIRA,KOBIETA,5445
ANASTASIYA,KOBIETA,5412
SOLOMIIA,KOBIETA,5408
WIERA,KOBIETA,5301
LUCJA,KOBIETA,5288
YULIYA,KOBIETA,5195
LILLA,KOBIETA,5153
TATSIANA,KOBIETA,5018
ZYTA,KOBIETA,4994
RAISA,KOBIETA,4944
KUNEGUNDA,KOBIETA,4900
VIKTORIA,KOBIETA,4887
ZOJA,KOBIETA,4833
VOLHA,KOBIETA,4793
KAMILLA,KOBIETA,4781
KATSIARYNA,KOBIETA,4768
VLADYSLAVA,KOBIETA,4764
LILA,KOBIETA,4637
OLIMPIA,KOBIETA,4607
MARCELA,KOBIETA,4600
ANGELINA,KOBIETA,4591
ZHANNA,KOBIETA,4516
KLEMENTYNA,KOBIETA,4509
NATALLIA,KOBIETA,4422
ALEXANDRA,KOBIETA,4387
VARVARA,KOBIETA,4375
EDWARDA,KOBIETA,4306
BOHDANA,KOBIETA,4268
ANZHELA,KOBIETA,4192
IRINA,KOBIETA,4181
KSENIA,KOBIETA,4119
FAUSTYNA,KOBIETA,3993
MIRELA,KOBIETA,3940
SEWERYNA,KOBIETA,3910
FILOMENA,KOBIETA,3895
BALBINA,KOBIETA,3891
NEL,KOBIETA,3888
DARYA,KOBIETA,3788
MARINA,KOBIETA,3779
EVA,KOBIETA,3773
JAGNA,KOBIETA,3721
LEONTYNA,KOBIETA,3696
MARYLA,KOBIETA,3695
ZINAIDA,KOBIETA,3652
MARCJANNA,KOBIETA,3638
ANASTASIA,KOBIETA,3613
NATALIYA,KOBIETA,3606
SNIZHANA,KOBIETA,3593
MARIYA,KOBIETA,3562
SAMANTA,KOBIETA,3545
JAŚMINA,KOBIETA,3527
YAROSLAVA,KOBIETA,3508
EMILIIA,KOBIETA,3429
MARYIA,KOBIETA,3388
EDELTRAUDA,KOBIETA,3360
ZORIANA,KOBIETA,3243
ERNA,KOBIETA,3208
OKTAWIA,KOBIETA,3198
GALYNA,KOBIETA,3194
AMALIA,KOBIETA,3172
PETRONELA,KOBIETA,3117
BERTA,KOBIETA,3091
NOEMI,KOBIETA,3055
EMILY,KOBIETA,3048
NIKOL,KOBIETA,3018
SOPHIE,KOBIETA,2990
LUBA,KOBIETA,2987
EVELINA,KOBIETA,2985
CLAUDIA,KOBIETA,2931
LEA,KOBIETA,2926
PAMELA,KOBIETA,2895
RUTA,KOBIETA,2873
ANZHELIKA,KOBIETA,2833
BOGNA,KOBIETA,2803
STELLA,KOBIETA,2800
WANESSA,KOBIETA,2761
VIKTORYIA,KOBIETA,2761
ZOIA,KOBIETA,2696
DOMICELA,KOBIETA,2665
KRZYSZTOFA,KOBIETA,2663
NELIA,KOBIETA,2622
MIRELLA,KOBIETA,2593
MILA,KOBIETA,2589
IULIIA,KOBIETA,2585
MICHELLE,KOBIETA,2575
ANA,KOBIETA,2570
TETYANA,KOBIETA,2558
LARA,KOBIETA,2558
SVIATLANA,KOBIETA,2544
GERDA,KOBIETA,2543
TOLA,KOBIETA,2537
INEZ,KOBIETA,2534
ERIKA,KOBIETA,2503
LIUDMILA,KOBIETA,2445
ANGELA,KOBIETA,2435
LEONIA,KOBIETA,2425
GANNA,KOBIETA,2403
SARAH,KOBIETA,2396
SVETLANA,KOBIETA,2396
ADELINA,KOBIETA,2378
VALENTINA,KOBIETA,2353
IRMGARDA,KOBIETA,2353
ALIAKSANDRA,KOBIETA,2344
HELGA,KOBIETA,2328
OLA,KOBIETA,2308
TAISIIA,KOBIETA,2282
EULALIA,KOBIETA,2256
JAROSŁAWA,KOBIETA,2205
ANTONIA,KOBIETA,2192
GALINA,KOBIETA,2188
MIRIAM,KOBIETA,2176
SOPHIA,KOBIETA,2159
LINA,KOBIETA,2147
PRAKSEDA,KOBIETA,2127
VASYLYNA,KOBIETA,2118
INES,KOBIETA,2113
VITALINA,KOBIETA,2093
NATALIE,KOBIETA,2067
MAIIA,KOBIETA,2040
ROMA,KOBIETA,2018
BERNARDYNA,KOBIETA,1975
OTOLIA,KOBIETA,1963
EUFEMIA,KOBIETA,1960
ELINA,KOBIETA,1945
AMINA,KOBIETA,1944
IZA,KOBIETA,1895
MARIETTA,KOBIETA,1862
KSENIYA,KOBIETA,1858
LIVIA,KOBIETA,1828
EMA,KOBIETA,1811
MANUELA,KOBIETA,1798
VERONICA,KOBIETA,1797
GRETA,KOBIETA,1791
YANINA,KOBIETA,1784
AUGUSTYNA,KOBIETA,1779
ARLETTA,KOBIETA,1774
SOFIYA,KOBIETA,1735
ANDREA,KOBIETA,1722
ELLA,KOBIETA,1719
NIKA,KOBIETA,1716
GLORIA,KOBIETA,1715
JANA,KOBIETA,1706
KLAUDYNA,KOBIETA,1690
BENEDYKTA,KOBIETA,1682
BLANDYNA,KOBIETA,1665
BOGDANA,KOBIETA,1664
ALA,KOBIETA,1664
MARGARITA,KOBIETA,1664
MIRA,KOBIETA,1655
ISABELLA,KOBIETA,1634
LUBOMIRA,KOBIETA,1633
PALINA,KOBIETA,1619
DOBROSŁAWA,KOBIETA,1611
INA,KOBIETA,1611
WINCENTYNA,KOBIETA,1608
MARTINA,KOBIETA,1601
JÓZEFINA,KOBIETA,1594
KORNELA,KOBIETA,1590
ROKSOLANA,KOBIETA,1589
EKATERINA,KOBIETA,1587
VALERYIA,KOBIETA,1586
VERANIKA,KOBIETA,1574
NADIYA,KOBIETA,1570
GABRYELA,KOBIETA,1547
YARYNA,KOBIETA,1546
LYUDMYLA,KOBIETA,1522
WILHELMINA,KOBIETA,1511
ARIANA,KOBIETA,1509
HANNAH,KOBIETA,1504
YELIZAVETA,KOBIETA,1503
LIGIA,KOBIETA,1487
MALINA,KOBIETA,1485
WALESKA,KOBIETA,1480
IRMA,KOBIETA,1471
ELVIRA,KOBIETA,1448
LINDA,KOBIETA,1447
HANKA,KOBIETA,1446
JENNIFER,KOBIETA,1445
ELIZABETH,KOBIETA,1440
SCHOLASTYKA,KOBIETA,1438
VIOLETA,KOBIETA,1433
VERA,KOBIETA,1414
LIZAVETA,KOBIETA,1406
SABRINA,KOBIETA,1405
LILY,KOBIETA,1404
VALERIA,KOBIETA,1403
ANDRIANA,KOBIETA,1400
DINA,KOBIETA,1399
PATRICIA,KOBIETA,1398
ALESIA,KOBIETA,1391
LYUBOV,KOBIETA,1383
CARMEN,KOBIETA,1368
ERNESTYNA,KOBIETA,1359
DANA,KOBIETA,1357
WIRGINIA,KOBIETA,1353
ALICE,KOBIETA,1325
LIANA,KOBIETA,1321
NICOL,KOBIETA,1319
GABRIELLA,KOBIETA,1313
BENIGNA,KOBIETA,1292
INGEBORGA,KOBIETA,1291
VIKTORIYA,KOBIETA,1271
TAMILA,KOBIETA,1269
NAOMI,KOBIETA,1261
YULIANA,KOBIETA,1254
HERMINA,KOBIETA,1248
SIMONA,KOBIETA,1245
AKSANA,KOBIETA,1239
KSAWERA,KOBIETA,1238
CELESTYNA,KOBIETA,1233
WANESA,KOBIETA,1224
DALIA,KOBIETA,1219
ALICIA,KOBIETA,1211
MAJKA,KOBIETA,1208
SERAFINA,KOBIETA,1203
MARITA,KOBIETA,1195
VLADA,KOBIETA,1191
ANIKA,KOBIETA,1175
CAROLINE,KOBIETA,1172
DŻESIKA,KOBIETA,1170
LARISA,KOBIETA,1167
IDALIA,KOBIETA,1165
KRYSTSINA,KOBIETA,1165
LILLY,KOBIETA,1163
EMANUELA,KOBIETA,1150
VITALIIA,KOBIETA,1143
NASTASSIA,KOBIETA,1136
NADZEYA,KOBIETA,1136
INGRID,KOBIETA,1134
ELZA,KOBIETA,1133
CRISTINA,KOBIETA,1125
BIANCA,KOBIETA,1124
KATERINA,KOBIETA,1120
MAIA,KOBIETA,1119
NELLY,KOBIETA,1119
ADAMINA,KOBIETA,1116
IWONNA,KOBIETA,1109
